nombre,id,propiedad,concesion,potencia_instalada_mv,fecha_puesta_servicio,tension_entrada,tension_salida,geojson,geom
SANTIAGO,SES,TRANSENER S.A,TRANSENER S.A,450,2015-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-64.3465792639761,-27.8382240651673]]}",0104000020E6100000010000000101000000F40FCB5A2E1650C0109D32DA95D63BC0
ORAN,ORA,TRANSNOA S.A,TRANSNOA S.A,30,1987-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.3216289088716,-23.1418247581121]]}",0104000020E610000001000000010100000052436B91951450C0C6DA99A04E2437C0
ALMAFUERTE,AM,TRANSENER S.A,TRANSENER S.A,600,1980-01-01,500,132,"{""type"":""MultiPoint"",""coordinates"":[[-64.3173153575183,-32.2064385532312]]}",0104000020E6100000010000000101000000D0C312E54E1450C0806119946C1A40C0
SANTIAGO OESTE,SGO,TRANSNOA S.A,TRANSNOA S.A,60,2008-11-21,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-64.2908828625901,-27.7986726632189]]}",0104000020E6100000010000000101000000A37227D39D1250C0F6BBC8CF75CC3BC0
SANTIAGO SUR,SGS,TRANSNOA S.A,TRANSNOA S.A,60,2006-03-01,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-64.2751553379156,-27.8363894430962]]}",0104000020E6100000010000000101000000B96A22259C1150C069D1589E1DD63BC0
LA BANDA,LBA,TRANSNOA S.A,TRANSNOA S.A,60,1970-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.2662298795699,-27.7526734536671]]}",0104000020E6100000010000000101000000207E0CE9091150C052111C35AFC03BC0
SANTIAGO ESTE,SGE,TRANSNOA S.A,TRANSNOA S.A,60,2014-08-25,132,13.2,"{""type"":""MultiPoint"",""coordinates"":[[-64.2572539217835,-27.7791306975806]]}",0104000020E6100000010000000101000000FC3427D9761050C0106B011C75C73BC0
SANTIAGO CENTRO,SCE,TRANSNOA S.A,TRANSNOA S.A,60,1977-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.2419908341241,-27.8168623892766]]}",0104000020E6100000010000000101000000A79F1FC77C0F50C08746BFE41DD13BC0
TABACAL,TAB,SIN DATOS,SIN DATOS,,,,,"{""type"":""MultiPoint"",""coordinates"":[[-64.241238345263,-23.2535711202213]]}",0104000020E610000001000000010100000087DCF472700F50C08A8F7409EA4037C0
BANDA ESTE,LBE,TRANSNOA S.A,TRANSNOA S.A,60,2012-12-10,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.2200888912156,-27.7272063052086]]}",0104000020E6100000010000000101000000FA7EB7EF150E50C0DE5042312ABA3BC0
PICHANAL,PIC,TRANSNOA S.A,TRANSNOA S.A,30,1987-01-01,132,13.2 | 33,"{""type"":""MultiPoint"",""coordinates"":[[-64.2116225891682,-23.3118930741095]]}",0104000020E6100000010000000101000000A1E478398B0D50C032267939D84F37C0
PETROQUÍMICA RÍO TERCERO,PE,PETROQUÍMICA RÍO TERCERO,PETROQUÍMICA RÍO TERCERO,0,,,,"{""type"":""MultiPoint"",""coordinates"":[[-64.1496558909919,-32.1618231002975]]}",0104000020E6100000010000000101000000AE5D4DF6930950C0F4C18D9EB61440C0
